name,slug,price,compare_price,popup_city_id,description,category,attendee_category,start_date,end_date,is_active,exclusive
Portal Entry Pass,portal-entry-pass,3000.0,,1,Full access to The Portal at Iceland Eclipse,month,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
Portal Patron,portal-patron,10000.0,,1,Patron level access to The Portal at Iceland Eclipse,month,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
Time Machine (8-person dorm),time-machine-dorm-bed,900.0,,1,8-person dormitory room,lodging,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
Gimli (4-person dorm),gimli-dorm-bed,1080.0,,1,4-person dormitory room,lodging,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
Hulabuól (Quadruple room),hulaboul-quad-bed,1490.0,,1,Quadruple room,lodging,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
Boiler Room (Double + Bathroom) - Per Bed,boiler-room-bed,2145.0,,1,Double room with bathroom - per bed,lodging,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
Boiler Room (Double + Bathroom) - Per Room,boiler-room-room,4290.0,,1,Double room with bathroom - full room,lodging,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
"Aurora 1, 2 (Triple Room) - Per Bed",aurora-1-2-bed,713.0,,1,Triple room - per bed,lodging,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
"Aurora 1, 2 (Triple Room) - Per Room",aurora-1-2-room,2140.0,,1,Triple room - full room,lodging,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
Aurora 3 (Triple + Bathroom) - Per Bed,aurora-3-bed,1717.0,,1,Triple room with bathroom - per bed,lodging,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
Aurora 3 (Triple + Bathroom) - Per Room,aurora-3-room,5150.0,,1,Triple room with bathroom - full room,lodging,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
Aurora 4 (5-Person Family Room) - Per Bed,aurora-4-bed,1378.0,,1,5-person family room - per bed,lodging,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
Aurora 4 (5-Person Family Room) - Per Room,aurora-4-room,6890.0,,1,5-person family room - full room,lodging,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
5x Double Rooms + Bathroom - Per Bed,double-bathroom-bed,2575.0,,1,Double room with bathroom - per bed,lodging,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
5x Double Rooms + Bathroom - Per Room,double-bathroom-room,5150.0,,1,Double room with bathroom - full room,lodging,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
Family Room (4-person + Bathroom) - Per Bed,family-room-bed,1943.0,,1,4-person family room with bathroom - per bed,lodging,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
Family Room (4-person + Bathroom) - Per Room,family-room-room,7770.0,,1,4-person family room with bathroom - full room,lodging,main,2025-07-19 00:00:00,2025-08-15 23:59:59,True,False
